TIME,RPM,CLT
54.44,4028,44
54.48,4072,44
54.52,4092,44
54.56,4069,44
54.6,4107,44
54.64,4103,44
54.68,4104,44
54.72,4122,44
54.76,3921,44
54.8,3755,44
54.84,3507,44
54.88,3328,44
54.92,3143,44
54.96,2951,44
55,2751,44
55.04,2634,44
55.08,2431,44
55.12,2583,45
55.16,2654,44
55.2,2696,44
55.24,2754,44
55.28,2825,44
55.32,2905,44
55.36,2977,44
55.4,3038,44
55.44,3089,44
55.48,3075,44
55.52,3091,45
55.56,3073,44
55.6,3093,44
55.64,3098,45
55.68,3087,45
55.72,3113,44
55.76,3129,44
55.8,3093,45
55.84,3135,45
55.88,3135,44
55.92,3134,45
55.96,3138,45
56,3112,45
56.04,3148,45
56.08,3171,45
56.12,3220,45
56.16,3237,45
56.2,3244,45
56.24,3280,45
56.28,3302,45
56.32,3354,45
56.36,3358,45
56.4,3374,45
56.44,3387,45
56.48,3382,45
56.52,3410,45
56.56,3392,45
56.6,3403,45
56.64,3485,45
56.68,3508,45
56.72,3533,45
56.76,3536,45
56.8,3562,45
56.84,3586,45
56.88,3641,45
56.92,3658,45
56.96,3638,45
57,3658,45
57.04,3663,45
57.08,3686,45
57.12,3704,45
57.16,3693,45
57.2,3709,45
57.24,3757,45
57.28,3762,45
57.32,3749,45
57.36,3754,45
57.4,3791,45
57.44,3798,45
57.48,3781,45
57.52,3796,45
57.56,3806,45
57.6,3788,45
57.64,3761,45
57.68,3752,45
57.72,3762,45
57.76,3752,45
57.8,3687,45
57.84,3662,45
57.88,3653,45
57.92,3638,45
57.96,3621,45
58,3574,45
58.04,3545,45
58.08,3528,45
58.12,3521,45
58.16,3516,45
58.2,3511,45
58.24,3466,45
58.28,3463,45
58.32,3451,45
58.36,3433,45
58.4,3439,45
58.44,3430,45
58.48,3425,45
58.52,3379,45
58.56,3352,45
58.6,3332,45
58.64,3332,45
58.68,3341,45
58.72,3350,46
58.76,3344,45
58.8,3365,45
58.84,3364,45
58.88,3352,45
58.92,3326,45
58.96,3309,45
59,3321,45
59.04,3335,45
59.08,3382,45
59.12,3378,45
59.16,3382,45
59.2,3405,45
59.24,3418,45
59.28,3389,45
59.32,3370,45
59.36,3364,45
59.4,3359,45
59.44,3392,45
59.48,3417,45
59.52,3441,45
59.56,3455,45
59.6,3454,46
59.64,3454,45
59.68,3460,45
59.72,3500,46
59.76,3503,45
59.8,3507,45
59.84,3511,45
59.88,3515,45
59.92,3533,46
59.96,3563,46
60,3596,45
60.04,3608,45
60.08,3579,46
60.12,3582,45
60.16,3618,46
60.2,3625,46
60.24,3624,46
60.28,3598,46
60.32,3599,45
60.36,3651,46
60.4,3664,46
60.44,3675,46
60.48,3661,46
60.52,3657,46
60.56,3669,46
60.6,3675,46
60.64,3663,46
60.68,3654,46
60.72,3649,46
60.76,3690,46
60.8,3681,46
60.84,3654,46
60.88,3652,46
60.92,3647,46
60.96,3653,46
61,3642,46
61.04,3595,46
61.08,3587,46
61.12,3568,46
61.16,3590,46
61.2,3565,46
61.24,3542,46
61.28,3504,46
61.32,3500,46
61.36,3473,46
61.4,3494,46
61.44,3465,46
61.48,3451,46
61.52,3407,46
61.56,3383,46
61.6,3362,46
61.64,3363,46
61.68,3372,46
61.72,3361,46
61.76,3348,46
61.8,3339,46
61.84,3332,46
61.88,3285,46
61.92,3253,46
61.96,3246,46
62,3215,46
62.04,3188,46
62.08,3179,46
62.12,3163,46
62.16,3166,46
62.2,3172,47
62.24,3141,46
62.28,3121,46
62.32,3103,46
62.36,3126,46
62.4,3163,46
62.44,3166,46
62.48,3139,46
62.52,3133,46
62.56,3082,46
62.6,3082,46
62.64,3061,46
62.68,3085,46
62.72,3132,46
62.76,3171,46
62.8,3229,46
62.84,3327,46
62.88,3443,46
62.92,3560,46
62.96,3808,46
63,3947,46
